asset_key,trait,facet_key,facet_role,module_key,section_key,slot_key,module_key_valid,section_key_valid,slot_key_valid,facet_support_present,render_surface_valid,status
big5_facet_v0_1_n1_facet_low_reframe,N,N1,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.n1.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n2_facet_glossary,N,N2,facet_glossary,module_05_facet_reframe,facet_details,facet_details.n2.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_n2_facet_high_reframe,N,N2,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.n2.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n2_facet_low_reframe,N,N2,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.n2.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n3_facet_glossary,N,N3,facet_glossary,module_05_facet_reframe,facet_details,facet_details.n3.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_n3_facet_high_reframe,N,N3,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.n3.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n3_facet_low_reframe,N,N3,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.n3.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n4_facet_glossary,N,N4,facet_glossary,module_05_facet_reframe,facet_details,facet_details.n4.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_n4_facet_high_reframe,N,N4,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.n4.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n4_facet_low_reframe,N,N4,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.n4.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n5_facet_glossary,N,N5,facet_glossary,module_05_facet_reframe,facet_details,facet_details.n5.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_n5_facet_high_reframe,N,N5,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.n5.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n5_facet_low_reframe,N,N5,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.n5.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n6_facet_glossary,N,N6,facet_glossary,module_05_facet_reframe,facet_details,facet_details.n6.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_n6_facet_high_reframe,N,N6,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.n6.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n6_facet_low_reframe,N,N6,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.n6.low_reframe,True,True,True,True,True,PASS
